,(W1c+W2c)/2,,,,,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
sssss_,0.00E+00,2.88E-03,0.00E+00,0.00E+00,0.00E+00,1.64E-04,0.00E+00,4.89E-02,0.00E+00,3.70E-04,3.88E-02,0.00E+00,3.66E-02,0.00E+00,1.05E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,1.17E-03,1.70E-02,0.00E+00,0.00E+00,1.02E-05,0.00E+00,0.00E+00,3.14E-04,0.00E+00,2.49E-02,0.00E+00,0.00E+00,3.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-02,1.31E-01,0.00E+00,0.00E+00,0.00E+00,3.50E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.90E-02,4.09E-02,7.95E-03,0.00E+00,0.00E+00,0.00E+00,1.14E-02,0.00E+00
Fsss,2.10E-02,9.14E-03,0.00E+00,0.00E+00,1.35E-02,8.74E-04,5.71E-06,4.24E-02,2.78E-03,0.00E+00,0.00E+00,4.78E-06,3.43E-02,0.00E+00,0.00E+00,0.00E+00,1.22E-02,1.30E-03,0.00E+00,0.00E+00,7.71E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.81E-04,0.00E+00,0.00E+00,0.00E+00,3.92E-03,5.36E-04,0.00E+00,9.03E-04,0.00E+00
Fss_,6.46E-02,0.00E+00,0.00E+00,0.00E+00,2.85E-02,6.13E-03,0.00E+00,7.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E-03,1.50E-03,0.00E+00,1.07E-02,3.79E-02,0.00E+00,1.96E-01,0.00E+00,2.19E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-03,0.00E+00
FFs,9.88E-04,8.45E-03,5.26E-02,2.72E-03,3.58E-03,0.00E+00,2.98E-02,1.89E-04,7.23E-02,1.32E-02,0.00E+00,5.39E-02,0.00E+00,1.08E-02,8.24E-03,9.92E-03,7.20E-03,0.00E+00,0.00E+00,1.39E-02,3.12E-03,0.00E+00,0.00E+00,0.00E+00,5.86E-02,0.00E+00,0.00E+00,0.00E+00,3.04E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.75E-02,0.00E+00
_fs,8.87E-03,0.00E+00,1.24E-03,2.70E-03,1.82E-02,5.69E-03,5.46E-02,3.34E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.84E-02,2.52E-02,0.00E+00,0.00E+00,0.00E+00,3.51E-03,4.69E-03,1.01E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFS,1.16E-04,9.12E-06,1.44E-02,3.10E-04,5.07E-02,3.25E-03,2.07E-04,3.17E-04,1.28E-02,1.46E-03,9.31E-04,1.31E-06,0.00E+00,5.96E-03,0.00E+00,0.00E+00,0.00E+00,6.78E-02,5.29E-03,0.00E+00,0.00E+00,0.00E+00,3.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-01,0.00E+00,2.77E-02,0.00E+00,0.00E+00,0.00E+00,3.43E-02,0.00E+00
_eee_,3.31E-06,7.30E-03,8.35E-04,0.00E+00,0.00E+00,8.16E-02,2.43E-02,1.40E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-02,4.81E-02,0.00E+00,0.00E+00,1.41E-03,2.40E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-02,0.00E+00,0.00E+00,0.00E+00,6.18E-03
Sssss,0.00E+00,1.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-02,0.00E+00,0.00E+00,5.71E-02,0.00E+00,1.63E-02,0.00E+00,2.10E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.38E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFf,9.70E-03,0.00E+00,0.00E+00,3.90E-03,4.96E-02,0.00E+00,1.70E-02,6.13E-03,3.23E-02,4.54E-03,0.00E+00,4.03E-03,0.00E+00,4.80E-03,2.82E-03,0.00E+00,1.23E-02,0.00E+00,3.09E-03,2.70E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-03,0.00E+00,0.00E+00,0.00E+00,6.55E-03,0.00E+00,7.19E-03,0.00E+00,0.00E+00,1.09E-01,0.00E+00,0.00E+00
